Name,Contributors
Sranan tongo,"English, Dutch, Portuguese"
Eastern Maroon Creole,"English, Portuguese, Kongo, Dutch, French"
Guyanese ,"English, Akan, Dutch, Hindi, Arawak"
Trinidadian Creole,"English, French, Spanish, Bhojpuri"
Jamaican Creole,"English, Akan"
Belizean Creole,"English, Akan, Ibibio, Swahili"
Bahamian Creole,English
Gullah ,"English, Mende, Yoruba, Vai"
Krio,"English, Yoruba"
Cameroonian Pidgin English,"English, French"
Pichinglis,"English, Spanish, Yoruba, Portuguese, Bubi, French"
Chinese Pidgin English,"English, Cantonese, Portuguese"
Singlish,"English, Hokkien, Malay, Cantonese, Mandarin"
Norf'k,"English, Tahitian"
Australian Kriol,"English, Alawa, Ngandi"
Hawaiʻi Creole English,"English, Hawaiian, Chinese, Portuguese"
Afrikaans,"Dutch, English, Khoekhoe"
Santiago Creole,"Portuguese, Wolof, Temne, Mandinka"
Cape Verdean Creole,"Portuguese, Wolof, Temne, Mandinka"
Guinea-Bissau Creole,"Portuguese, Balanta, Manjaku, Mankanya"
Annobonese Creole,"Portuguese, Yoruba"
Kristang,"Portuguese, Malay, Hokkien"
Chavacano,"Spanish, Tagalog"
Papiamento ,"Portuguese, Spanish, Dutch, English, French"
Haitian Creole,"French, Fongbe, Igbo"
French Guianese Creole ,"French, Arawak, Portuguese"
Réunion Creole,"French, Malagasy, Hindi, Portuguese, Gujarati"
Seychellois Creole,"French, Malagasy, English, Tamil"
Kituba,"Kongo, Bobangi"
Sango,"Ngbandi, French"
Lingala,"Bobangi, Swahili, Kongo, French, Portuguese, English"
Fanagalo,"Zulu, Afrikaans, English"
Mbugu,"Maasai, Pare"
Sri Lankan Malay,"Malay, Sinhala, Tamil"
Bazaar Malay,"Malay, Hokkien, Tamil"
Media Lengua,"Spanish, Quechan"
